task_id,family,parent_correct,derived_correct,parent_valid_proof,derived_valid_proof,parent_nodes_visited,parent_edges_examined,parent_search_steps,parent_compute_credits,derived_nodes_visited,derived_edges_examined,derived_search_steps,derived_compute_credits,delta_nodes_visited,delta_edges_examined,delta_search_steps,delta_compute_credits
test-5b2f5f828acf190d,path,True,True,True,True,2006,3599,33,2039,2006,3599,33,2039,0,0,0,0
test-60be6abbee9c6ce8,distractor,True,True,True,True,5,23,33,38,5,23,33,38,0,0,0,0
test-3ce755e29e03cf18,semantic_hybrid,True,True,True,True,8,22,33,41,8,22,33,41,0,0,0,0
test-6a1b5685b4581cb8,robustness,True,True,True,True,2,5,33,35,2,5,33,35,0,0,0,0
test-3630a657d9df914a,path,True,True,True,True,8,57,33,41,8,57,33,41,0,0,0,0
test-1aadbb3d5f0bc072,path,True,True,True,True,374,16263,33,407,374,16263,33,407,0,0,0,0
test-1b639072f69b3049,distractor,True,True,True,True,10,19,33,43,10,19,33,43,0,0,0,0
test-01063cfda635339e,intersection,True,True,True,True,14,20,33,47,14,20,33,47,0,0,0,0
test-78d18e2dde59ccca,path,True,True,True,True,21,75,33,54,21,75,33,54,0,0,0,0
test-65f190899d23289e,distractor,True,True,True,True,104,1933,33,137,104,1933,33,137,0,0,0,0
test-4b5369d9b0a89a85,semantic_hybrid,True,True,True,True,4,31,33,37,4,31,33,37,0,0,0,0
test-4e68265cd9605175,robustness,True,True,True,True,16,53,33,49,16,53,33,49,0,0,0,0
test-7416914c9e676022,path,True,True,True,True,7,20,33,40,7,20,33,40,0,0,0,0
test-24040bd20e4dd3bc,path,True,True,True,True,786,5524,33,819,786,5524,33,819,0,0,0,0
test-19587001bb9bd51e,distractor,True,True,True,True,417,17816,33,450,417,17816,33,450,0,0,0,0
test-5bfe44e6baf27ce8,intersection,True,True,True,True,1,5,33,34,1,5,33,34,0,0,0,0
test-08c3513e65fcd400,path,True,True,True,True,11,50,33,44,11,50,33,44,0,0,0,0
