ts_unix,global_step,phase,reward,success_rate,proof_validity,nodes_per_query,edges_per_query
1786640063.6651316,3128080,jetson_specialization,0.01790932306643951,0.375,0.375,10.3125,46.0625
1786640064.2789087,3128096,jetson_specialization,0.9449358207360601,0.6875,0.6875,8.625,62.875
1786640064.872393,3128112,jetson_specialization,0.5709379781556359,0.5625,0.5625,6.6875,45.875
1786640065.4353375,3128128,jetson_specialization,0.5820279041324483,0.5625,0.5625,7.0625,52.625
1786640066.0745015,3128144,jetson_specialization,0.5345334463480764,0.5625,0.5625,54.9375,1375.25
1786640066.6857693,3128160,jetson_specialization,0.19296519234066822,0.4375,0.4375,19.625,469.3125
1786640067.2739308,3128176,jetson_specialization,0.5617056804975853,0.5625,0.5625,27.4375,77.4375
1786640067.8881667,3128192,jetson_specialization,0.925298807609768,0.6875,0.6875,21.8125,61.1875
1786640068.550589,3128208,jetson_specialization,1.1054412853497055,0.8125,0.8125,224.1875,2116.4375
1786640069.097583,3128224,jetson_specialization,0.20923499417447114,0.4375,0.4375,8.875,73.375
1786640069.6685739,3128240,jetson_specialization,0.3682781648763318,0.5,0.5,32.6875,182.875
1786640070.313703,3128256,jetson_specialization,0.918627031655475,0.6875,0.6875,35.875,1081.4375
1786640070.8685274,3128272,jetson_specialization,0.2009842768617202,0.4375,0.4375,14.8125,116.1875
1786640071.4336972,3128288,jetson_specialization,0.5127137844342157,0.5625,0.5625,79.0,484.5625
1786640072.0246239,3128304,jetson_specialization,0.7677642504372044,0.625,0.625,3.8125,20.1875
1786640072.6488492,3128320,jetson_specialization,1.297352666337546,0.8125,0.8125,25.6875,88.3125
1786640073.2257793,3128336,jetson_specialization,0.9310570832439701,0.6875,0.6875,23.375,54.4375
1786640073.7592225,3128352,jetson_specialization,-0.16843151029076064,0.3125,0.3125,12.4375,72.6875
1786640074.360202,3128368,jetson_specialization,0.7703944153278004,0.625,0.625,6.125,41.9375
1786640074.954153,3128384,jetson_specialization,0.3942716713693618,0.5625,0.5625,191.75,1078.9375
